dates,Elect_all,Elect_all_forecast_VAR,Elect_all_forecast_VECM,GDP_all,GDP_all_forecast_VAR,GDP_all_forecast_VECM
21-Jan,61728305,74999670.00,74122193.00,1948047,1856616.00,1822639.00
21-Feb,57162090,59086900.00,56758737.00,1953985,1825849.00,1726602.00
21-Mar,56656641,50511760.00,47174926.00,1976422,2002858.00,1853681.00
21-Apr,48555490,54066990.00,51363187.00,1955694,2187350.00,2034762.00
21-May,48110215,53864870.00,53201288.00,1944735,2133389.00,2033460.00
21-Jun,48939953,49320010.00,49830726.00,1962883,1990137.00,1946693.00
21-Jul,49931674,49770660.00,50290691.00,1971297,1945797.00,1922399.00
21-Aug,50332611,50138550.00,50361095.00,1982696,1943610.00,1914264.00
21-Sep,45812955,44867270.00,44101580.00,1989148,1939773.00,1904701.00
21-Oct,48242405,51098660.00,50585794.00,2006431,1940090.00,1897130.00
21-Nov,51705069,60274580.00,61354080.00,2016034,1923493.00,1835571.00
21-Dec,60476265,59634070.00,60008451.00,2018949,1962021.00,1813286.00
22-Jan,65051614,62309740.00,60873022.00,2015978,2118517.00,1975013.00
22-Feb,56206968,59475360.00,56858656.00,2032745,2159828.00,2120685.00
22-Mar,56654463,60460010.00,58546122.00,2046409,1926664.00,2011839.00
22-Apr,50159114,51543050.00,51942450.00,2053317,1699551.00,1812492.00
