"Latitude","Longitude","SEPM_o","SEPM_t","OSW_o","OSW_t","HW_o","HW_t","Prixestime"
47.445998,-73.888285,9250,2700,0,700,810,2450,51088.775
48.413943,-74.946041,16900,12160,0,950,150,1050,90129.195
47.754659,-73.277815,9750,3300,0,7300,750,3750,58224.925
47.91165,-70.115095,4850,3850,0,100,10,110,25763.985
48.176172,-74.728279,15310,9920,0,700,100,450,80325.9
48.574031,-73.500471,3060,2570,0,0,50,100,16549.675
47.82031,-72.980685,7850,2900,1450,4300,3150,7500,66764.725
47.257264,-72.237571,4200,1150,0,4900,4250,5200,47049.175
47.887865,-75.17477,10150,3200,0,100,2510,10550,67770.625
48.436862,-74.986012,10400,6010,0,10,100,1400,54465.36
47.613745,-72.609585,2450,600,0,1100,320,960,14675.81
46.514133,-71.808349,4710,1350,1350,1050,620,1710,33149.37
47.047908,-73.549949,19400,9710,0,450,210,2150,100649.895
47.824236,-72.881004,12450,4110,1400,3750,2050,5300,82216.845
47.910119,-73.582409,5210,1930,0,100,420,3460,29769.73
48.533042,-75.333952,10260,6410,0,100,50,150,53274.255
47.656513,-72.982392,7950,2260,0,5100,1900,6950,54946.82
46.928271,-72.065559,12700,2410,10,50,2400,3750,75213.07
47.435125,-73.642255,13900,2610,50,8460,3370,9500,93916.335
47.161114,-73.273049,8650,4350,250,2410,1760,6600,58282.34
47.299642,-73.680037,5410,1410,100,2160,1560,4110,37911.28
46.999453,-70.184228,7650,3600,0,1950,560,2100,43571.25
47.432422,-72.917395,34700,10760,260,7520,5910,17660,214513.735
48.267897,-75.056978,17350,12300,0,3900,200,1650,94677.45
47.664868,-72.826616,8750,2360,0,1050,1400,4550,52663.47
48.066537,-74.047625,24000,10860,0,2400,750,1050,126384.495
47.462133,-72.14111,8460,2360,0,9900,2900,9700,66620.23
47.826966,-70.427083,3700,3250,50,4960,600,2800,27319.59
47.626229,-74.255487,12500,6410,0,950,610,2360,68187.155
47.586586,-72.852071,15200,4110,60,4560,4210,10460,103415.395
47.178851,-73.493036,6360,3410,0,60,170,560,33532.155
46.669053,-73.486504,9100,2620,2500,320,2760,6260,71753.18
47.877598,-70.206364,3610,1560,0,0,10,300,18305.655
47.496071,-73.721097,11950,3310,0,2100,1810,6560,72062.705
46.595011,-73.386949,7000,1810,310,110,2650,6700,51956.235
47.902694,-70.110169,4850,3850,0,100,10,110,25763.985
46.960624,-73.396283,8900,2910,200,610,1410,5950,55072.235
48.582023,-75.423186,4360,4350,0,60,0,50,23720.35
47.382158,-73.420484,7950,1200,100,5510,1610,4300,52064.315
47.038602,-72.641145,13350,2660,1510,1820,4160,10300,97569.85
47.287623,-72.405494,3800,1610,10,310,350,1350,21664.585
47.345828,-73.465532,8600,3400,150,2310,3420,7750,65626.89
47.886541,-73.876241,9550,5110,0,2050,1660,2750,59393.97
46.585517,-73.336619,4050,910,660,510,3450,7200,43279.585
47.955284,-74.022906,7900,3060,0,1500,160,1360,41742.68
47.683947,-72.53463,13360,3910,100,2220,3500,7750,88510.06
47.859134,-73.958644,3300,1600,0,200,320,750,18748.8
47.777668,-70.372998,4800,3900,1050,8300,300,950,36630.75
47.489402,-72.132138,6500,1950,0,1550,1650,3700,42888.175
47.172149,-72.589266,17400,6010,600,3160,4360,11160,117576.77
47.467931,-73.104268,5600,1360,100,5710,2520,8500,47849.66
47.886413,-75.050005,11700,4750,0,100,450,4950,63230.675
47.327554,-72.537724,10450,2350,20,270,2460,5250,65819.43
47.994724,-73.607075,11450,4250,0,450,60,500,57735.75
47.953171,-73.294999,8260,3260,0,1000,660,1800,45957.33
47.240738,-72.57418,10850,2450,400,210,560,1950,58275.54
47.403127,-71.585495,3080,2530,0,0,200,1450,18034.59
47.942041,-70.08139,910,610,20,1820,170,510,6995.045
48.058255,-70.570986,9250,5500,0,4400,110,2010,51697.785
47.958776,-74.90881,8500,4350,0,10,1300,5050,52068.54
47.881852,-74.698893,10600,7560,0,1400,250,1400,58108.845
48.996063,-75.030387,6360,7210,0,10,10,150,35271.095
45.458708,-70.949393,3600,550,200,70,2200,4200,31110.43
46.944235,-70.204038,8050,3260,500,3160,450,2650,47703.235
45.669581,-71.177983,8400,2010,2350,3710,1060,2850,59380.86
47.843921,-72.129152,11150,5410,0,4050,710,2660,63629.255
48.177431,-74.729223,15710,9510,0,750,100,500,81963.73
47.46093,-72.137085,6410,1960,0,8150,2200,6950,50805.13
48.414114,-74.946041,15300,10410,0,900,200,1050,81550.77
47.915315,-73.418547,5560,3260,0,1550,560,3050,33738.08
47.257183,-72.236627,4100,1000,0,4850,2850,3600,38752.725
47.062059,-70.059511,6300,4250,10,1620,10,1060,34310.615
47.211959,-71.553277,10850,6650,10,460,970,4970,63438.785
48.058714,-70.571137,9150,5400,0,5200,160,2760,52263.31
46.897098,-73.395912,14000,5700,9850,5250,2710,6310,129625.635
47.689042,-72.463806,18700,4950,110,4820,2900,5350,111818.58
48.035482,-75.415953,17700,15450,0,2300,500,950,98766
47.720671,-72.809928,11450,4000,0,550,2810,5860,73835.935
47.61805,-73.419423,20450,7000,100,3760,960,4750,111020.99
47.858795,-69.984111,5450,1600,10,1550,1100,6900,36655.6
47.675435,-72.474169,2300,450,0,450,1960,3000,22557.75
47.203351,-72.775385,18350,5010,750,6510,3370,12610,119818.445
47.391995,-71.543431,5310,4660,0,0,200,3000,30850.63
46.782316,-70.540559,3600,860,350,1700,500,1350,23135.97
46.870625,-70.442719,2950,2600,50,400,300,810,18086.36
47.860002,-74.519499,11700,4970,0,850,350,750,61227.165
48.004968,-74.050858,6950,3610,0,1250,100,700,36896.87
47.285627,-73.559467,6900,4400,50,2610,310,1850,39874.115
47.644917,-73.574762,27000,11860,0,3550,5150,13550,169849.095
47.128602,-73.357288,10000,3650,1200,2150,2010,7850,69680.375
46.65283,-73.59555,3960,1410,400,60,850,3050,27020.195
46.938722,-73.26827,2650,1100,250,560,1350,2700,22608.665
47.479799,-72.992939,11200,2850,110,4770,1910,9610,72296.365
46.949955,-73.225732,15510,4460,2850,710,8660,17460,139531.78
46.960142,-72.894598,1210,680,210,2080,620,1610,12151.9
48.067671,-74.051707,21500,9510,0,2000,750,1000,113383.645
46.789152,-73.374776,4300,2010,2200,1300,1700,3250,41388.52
47.417165,-73.471179,12250,4660,100,2360,560,1850,66493.61
47.157618,-73.925411,9400,4100,1650,960,2520,5410,69565.9
47.536377,-74.331483,7660,5760,0,20,10,10,40263.445
48.411756,-74.091683,10400,5850,0,1250,350,2200,56730.925
46.98977,-73.536209,7500,3210,1450,350,560,2160,47533.53
46.938291,-72.623267,2000,660,900,1170,1310,3610,22504.535
47.886145,-72.847167,44550,14800,0,2400,1170,5310,230073.235
49.015697,-75.26941,11910,7000,0,600,250,850,63098.535
46.629041,-73.548112,5800,2250,800,200,1150,3700,39791.925
47.001351,-71.880241,22900,4550,0,0,3260,5910,129965.96
47.168061,-73.950648,5350,1960,0,1450,1020,2400,33676.22
48.235422,-70.391853,4900,5200,20,310,360,3610,30678.9
47.360473,-72.326247,19810,12010,50,1960,450,5600,108289.145
47.252447,-72.615872,11910,2960,50,10,2250,4850,71857.095
47.429178,-72.975318,10300,3010,200,920,920,2660,57841.71
47.991088,-73.181604,7500,5310,0,650,200,350,40670.07
47.759559,-73.609023,6450,2900,0,300,360,1250,35011.95
47.863785,-74.291467,3860,2420,0,500,160,760,21377.76
47.847241,-73.348005,3700,2000,0,3200,50,750,21405.625
48.448427,-74.037858,18350,7200,0,300,500,2500,95400.2
47.843982,-72.238514,14550,5450,0,0,2060,5750,85390.95
47.88363,-72.103194,6750,2460,0,1350,850,2000,39523.195
48.05256,-74.75844,13000,3800,0,1100,1550,5700,75038.575
48.196346,-74.833639,20550,6110,0,2150,500,1600,105611.97
47.107793,-73.323956,6650,1700,60,40,4100,10100,58017.16
48.017423,-73.939974,10150,7300,0,2150,200,1050,55834.65
48.543428,-73.601706,1550,2350,0,0,0,0,8995
48.060578,-74.811135,7600,2900,0,1250,600,2000,42550.4
47.021934,-72.461677,11560,2510,0,20,1310,4000,64639.785
47.848886,-72.197189,8800,3310,0,2450,710,2950,50235.545
46.951573,-71.998449,24300,2760,10,30,1800,2750,126533.54
47.390395,-72.076043,6800,3400,0,450,3600,5750,55304.9
46.989302,-73.534793,7500,3210,1450,350,460,1810,46865.18
47.963822,-72.981491,16750,5450,0,850,1560,4250,93031.3
47.922463,-70.090365,6710,3960,20,6220,460,3210,42144.72
47.874308,-72.169028,5600,2100,0,1000,1310,3400,36612.075
47.472041,-72.145583,5860,1760,0,8150,2250,7000,48345.105
47.259047,-72.238772,4100,1000,0,4850,2850,3600,38752.725
47.182173,-73.323002,6350,1800,100,2460,460,2350,36500.64
47.991661,-72.509818,10960,2870,0,6200,2310,7100,72294.725
47.208329,-71.560641,11800,6950,30,1230,790,3090,66833.585
48.276672,-74.349409,12100,11510,0,200,300,800,67249.22
47.213579,-73.325637,19700,3850,50,4160,1510,5200,108173.365
45.362345,-70.918269,3460,960,300,950,2710,3800,33990.855
47.860429,-73.951348,3250,1510,0,200,220,650,17906.47
46.881995,-73.313996,4410,1560,4750,1610,1970,3360,53500.755
47.34848,-73.506209,9850,4000,150,1210,1910,5600,62769.165
47.917243,-73.417646,5550,3250,0,1500,460,2600,32934.65
47.916112,-73.581155,5300,1920,0,100,310,3050,29437.715
47.914301,-73.196175,8800,3100,0,1850,1100,4050,52192.95
48.354422,-74.30597,19550,8610,0,2100,1250,2750,106964.545
