"Latitude","Longitude","Superficie","Volumeobligatoiretotalm","vol_SEPM_O","vol_SEPM_T","vol_OSW_O","vol_OSW_T","vol_HW_O","vol_HW_T,"Prixdevente"
46.698472,-73.29594,138,15750,2150,2500,2650,3700,1400,3350,73050
46.68776,-73.286375,158,13950,2050,2400,3400,3000,850,2250,90475
45.371806,-71.148624,161,8850,2750,100,0,1050,1350,3600,104055
47.874334,-73.292132,286,41050,13550,4900,0,6850,4500,11250,146003.5
47.101988,-72.356821,210,13750,4550,100,0,100,2700,6300,NA
46.954588,-72.144946,77,8600,3200,1250,50,800,850,2450,95962.5
47.482175,-71.95785,268,26850,11350,6700,0,150,1900,6750,NA
46.491103,-71.747099,26,2400,900,250,350,300,150,450,32133
46.698145,-72.977126,180,19400,4050,1200,950,3100,2100,8000,NA
46.711911,-72.974207,370,34000,8850,5600,100,2100,2650,14700,159976
47.2688,-72.451537,100,7300,2800,550,0,0,1000,2950,NA
47.103669,-72.416034,220,14970,4750,2800,0,2270,1250,3900,NA
47.108597,-72.437277,150,8650,2400,2100,0,1950,750,1450,NA
48.005589,-74.124714,495,59500,31500,21550,0,4150,250,2050,176158
47.170934,-72.397001,257,24800,15800,3650,200,250,1000,3900,217480
46.698144,-72.976791,157,18400,4150,1350,950,3000,1750,7200,NA
47.101413,-72.470064,189,16250,7950,3450,50,1050,750,3000,28915
47.17411,-72.43382,189,18650,8250,2450,50,50,2050,5800,148661.5
46.932365,-73.071843,367,38250,15350,3850,1800,7100,1450,8700,NA
47.2688,-72.451537,100,8000,3000,650,0,0,1050,3300,35825
47.108596,-72.437277,150,10550,5700,1100,50,1900,450,1350,NA
47.108596,-72.437277,150,8300,5700,1100,50,50,50,1350,NA
47.549937,-70.842655,48,4000,1400,2550,0,0,0,50,NA
47.534821,-70.849276,127,7800,3350,4400,0,0,0,50,NA
46.461804,-71.777285,64,4750,150,750,400,450,650,2350,59102
47.160733,-72.407376,220,23750,14250,2850,450,400,1500,4300,NA
47.159667,-72.430813,167,14700,5350,1400,0,0,2750,5200,NA
46.959071,-72.138493,156,12850,3500,1200,0,650,850,6650,150035.55
46.525341,-71.878264,30,1800,1100,150,50,100,50,350,38208.12
46.51195,-71.748982,23,1850,1200,50,100,100,50,350,NA
45.871987,-70.384232,25,2750,1850,500,0,0,0,400,NA
46.711016,-70.116217,27,1700,900,150,0,300,0,350,NA
46.772487,-70.071345,34,1600,1200,200,0,0,0,200,22200
46.786013,-70.121613,10,450,300,100,0,50,0,0,4150
46.868118,-70.531206,16,500,150,50,0,0,0,300,NA
47.18434,-69.91123,57,4650,1950,400,0,2100,0,200,67050
47.214702,-69.91047,10,600,350,50,0,0,0,200,NA
45.482026,-70.7135,99,6200,1900,200,0,0,250,3850,NA
45.769452,-71.545756,86,9900,5600,1800,0,400,200,1900,151200
47.456963,-72.569698,488,65150,26750,11150,150,150,6350,20600,356582.5
46.932365,-73.071843,373,39050,13900,3750,2750,7600,1400,9650,NA
46.62479,-73.295089,306,32700,8100,1400,1150,6850,4350,10850,75129.5
47.160733,-72.407376,220,21250,11850,2950,400,400,1300,4350,102232.5
46.65596,-72.941489,201,13950,3300,2400,950,550,1900,4850,NA
47.327379,-73.287296,126,18250,6700,2750,100,4100,600,4000,130550
